aeg,hrl,laius,pikkus,asukoht_suund,nurk,suund1,suund2,snr,rx1_rssi,rx2_rssi
1777811095.85589,4296875,58.3749707,26.5530403,350.5,-90,260.5,260.5,46.19,-81.4,-93.3
1777811104.67953,3085938,58.3754133,26.5528335,329,16.8,345.8,132.2,48.4,-76.7,-83.1
1777811105.03688,1132812,58.3754352,26.552818,339.7,-90,249.7,249.7,46.44,-77.8,-84.4
1777811109.19543,1406250,58.3755427,26.5528335,355.7,-90,265.7,265.7,52.01,-75,-83.1
1777811110.19377,976562,58.3755669,26.5528391,6.9,-90,276.9,276.9,46.31,-77.7,-84.8
1777811110.23002,2929688,58.3755669,26.5528391,6.9,-90,276.9,276.9,51.76,-74.3,-80.8
1777811110.8021,2031250,58.3755669,26.5528391,6.9,-90,276.9,276.9,47.02,-79.3,-86.7
1777811112.49903,937500,58.3756143,26.5528162,335,-90,245,245,52.07,-74.6,-81
1777811112.63614,1015625,58.3756143,26.5528162,335,-90,245,245,44.92,-78.9,-85.3
1777811112.75288,1328125,58.3756143,26.5528162,335,-90,245,245,50.89,-74.3,-80.5
1777811113.08288,1054688,58.3756368,26.5527899,328.6,-90,238.6,238.6,44.61,-78.7,-84.9
1777811113.12041,1523438,58.3756368,26.5527899,328.6,-90,238.6,238.6,52.83,-74.5,-81
1777811113.3354,3125000,58.3756368,26.5527899,328.6,-90,238.6,238.6,47.11,-76.8,-82.3
1777811114.4886,1054688,58.3756599,26.5527655,330.9,-90,240.9,240.9,53.57,-73.5,-79.5
1777811114.52846,1054688,58.3756599,26.5527655,330.9,-90,240.9,240.9,45.36,-78.2,-83.7
1777811114.55265,1328125,58.3756599,26.5527655,330.9,-90,240.9,240.9,53.57,-73.5,-79.6
1777811115.0499,2187500,58.3756811,26.5527445,332.6,-90,242.6,242.6,46.02,-77,-81.4
1777811122.83945,5000000,58.3757365,26.5527005,254.6,-90,164.6,164.6,51.89,-74.1,-79.4
1777811122.89024,3085938,58.3757365,26.5527005,254.6,-90,164.6,164.6,46.76,-75.6,-80.3
1777811123.94336,4101562,58.3757359,26.5526983,254.6,-90,164.6,164.6,52.99,-75.4,-79.4
1777811124.02228,3125000,58.3757359,26.5526983,254.6,-90,164.6,164.6,47.36,-76,-80.1
1777811126.57483,3828125,58.3757469,26.5527476,62.1,-90,332.1,332.1,44.12,-81.2,-85.3
1777811127.57087,2148438,58.3757524,26.5527608,51.4,-90,321.4,321.4,50.14,-76.9,-81.9
1777811128.67,1601562,58.3757606,26.5527661,18.5,-90,288.5,288.5,44.11,-78.8,-83.5
1777811130.32444,2265625,58.375777,26.55272,292.1,-90,202.1,202.1,53.16,-74,-79.5
1777811130.37535,976562,58.375777,26.55272,292.1,-90,202.1,202.1,45.54,-77.5,-83.6
1777811130.41577,4257812,58.375777,26.55272,292.1,-90,202.1,202.1,51.12,-74.2,-79.8
1777811131.53847,3125000,58.3757817,26.5526818,283.2,-90,193.2,193.2,46.07,-78,-81.8
1777811132.67439,3125000,58.3757859,26.5526556,286.8,-90,196.8,196.8,52.31,-74.9,-79.3
1777811132.8108,1132812,58.3757859,26.5526556,286.8,-90,196.8,196.8,45.75,-78,-82.4
