aeg,hrl,laius,pikkus,asukoht_suund,nurk,suund1,suund2,snr,rx1_rssi,rx2_rssi
1777816941.44366,2187500,58.3730157,26.5543771,178.6,-71.9,16.7,340.5,47.33,-72,-83.9
1777816941.6758,2187500,58.3730157,26.5543771,178.6,-65.2,23.4,333.8,48.9,-70.6,-83.5
1777816942.09779,3281250,58.3729151,26.5543804,179,-74.3,14.7,343.3,46.56,-68.8,-80.6
1777816942.13483,2890625,58.3729151,26.5543804,179,-60.2,28.8,329.2,46.9,-72.2,-85.7
1777816942.44926,2890625,58.3729151,26.5543804,179,-72.5,16.5,341.5,47.81,-67.9,-79.8
1777816942.88455,3242188,58.3729151,26.5543804,179,-65.1,23.9,334.1,48.52,-72.4,-84.9
1777816942.8861,3789062,58.3729151,26.5543804,179,-62.8,26.2,331.8,46.34,-66.8,-79.5
1777816943.1619,4101562,58.3728038,26.5543707,182.6,-76.2,16.4,348.8,45.97,-67,-78
1777816943.42983,3476562,58.3728038,26.5543707,182.6,-82.7,9.89999999999999,355.3,47.47,-66.3,-76.2
1777816943.64195,2539062,58.3728038,26.5543707,182.6,-68.8,23.8,341.4,46.39,-67.2,-79.2
1777816943.6435,2656250,58.3728038,26.5543707,182.6,-81.6,11,354.2,48.33,-67,-77.9
1777816943.67205,3125000,58.3728038,26.5543707,182.6,-90,2.59999999999999,2.60000000000002,47.66,-67.3,-77.3
1777816943.74904,3203125,58.3728038,26.5543707,182.6,-83.3,9.3,355.9,50.39,-67.4,-78.3
1777816944.01376,3242188,58.3728038,26.5543707,182.6,-90,2.59999999999999,2.60000000000002,47,-67.5,-76.8
1777816944.21324,2929688,58.372686,26.5543599,182.8,-83.3,9.50000000000001,356.1,48.08,-67.7,-78.9
1777816944.28861,2578125,58.372686,26.5543599,182.8,-90,2.80000000000001,2.80000000000001,48.44,-67.7,-77.2
1777816946.13392,3984375,58.37246,26.5543432,182.8,-90,2.80000000000001,2.80000000000001,44.15,-73.8,-83.1
